Buffalo	Bills			Bills				"(Bills,'Bills'),"			WK	1	WK1		WK1		WK1 = 'WK1'		"(WK1,'WK1'),"
Miami	Dolphins			Dolphins				"(Dolphins,'Dolphins'),"			WK	2	WK2		WK2		WK2 = 'WK2'		"(WK2,'WK2'),"
New	England	Patriots		Patriots				"(Patriots,'Patriots'),"			WK	3	WK3		WK3		WK3 = 'WK3'		"(WK3,'WK3'),"
New	York	Jets		Jets				"(Jets,'Jets'),"			WK	4	WK4		WK4		WK4 = 'WK4'		"(WK4,'WK4'),"
Baltimore	Ravens			Ravens				"(Ravens,'Ravens'),"			WK	5	WK5		WK5		WK5 = 'WK5'		"(WK5,'WK5'),"
Cincinnati	Bengals			Bengals				"(Bengals,'Bengals'),"			WK	6	WK6		WK6		WK6 = 'WK6'		"(WK6,'WK6'),"
Cleveland	Browns			Browns				"(Browns,'Browns'),"			WK	7	WK7		WK7		WK7 = 'WK7'		"(WK7,'WK7'),"
Pittsburgh	Steelers			Steelers				"(Steelers,'Steelers'),"			WK	8	WK8		WK8		WK8 = 'WK8'		"(WK8,'WK8'),"
Houston	Texans			Texans				"(Texans,'Texans'),"			WK	9	WK9		WK9		WK9 = 'WK9'		"(WK9,'WK9'),"
Indianapolis	Colts			Colts				"(Colts,'Colts'),"			WK	10	WK10		WK10		WK10 = 'WK10'		"(WK10,'WK10'),"
Jacksonville	Jaguars			Jaguars				"(Jaguars,'Jaguars'),"			WK	11	WK11		WK11		WK11 = 'WK11'		"(WK11,'WK11'),"
Tennessee	Titans			Titans				"(Titans,'Titans'),"			WK	12	WK12		WK12		WK12 = 'WK12'		"(WK12,'WK12'),"
Denver	Broncos			Broncos				"(Broncos,'Broncos'),"			WK	13	WK13		WK13		WK13 = 'WK13'		"(WK13,'WK13'),"
Kansas	City	Chiefs		Chiefs				"(Chiefs,'Chiefs'),"			WK	14	WK14		WK14		WK14 = 'WK14'		"(WK14,'WK14'),"
Oakland	Raiders			Raiders				"(Raiders,'Raiders'),"			WK	15	WK15		WK15		WK15 = 'WK15'		"(WK15,'WK15'),"
Los	Angeles	Chargers		Chargers				"(Chargers,'Chargers'),"			WK	16	WK16		WK16		WK16 = 'WK16'		"(WK16,'WK16'),"
Dallas	Cowboys			Cowboys				"(Cowboys,'Cowboys'),"			WK	17	WK17		WK17		WK17 = 'WK17'		"(WK17,'WK17'),"
New	York	Giants		Giants				"(Giants,'Giants'),"			WILD		WILDCARD		WILDCARD		WILDCARD = 'WILDCARD'		"(WILDCARD,'WILDCARD'),"
Philadelphia	Eagles			Eagles				"(Eagles,'Eagles'),"			DIV		DIVISIONAL		DIVISIONAL		DIVISIONAL = 'DIVISIONAL'		"(DIVISIONAL,'DIVISIONAL'),"
Washington	Redskins			Redskins				"(Redskins,'Redskins'),"			CHAMP		CHAMPIONSHIP		CHAMPIONSHIP		CHAMPIONSHIP = 'CHAMPIONSHIP'		"(CHAMPIONSHIP,'CHAMPIONSHIP'),"
Chicago	Bears			Bears				"(Bears,'Bears'),"			SB		SUPERBOWL		SUPERBOWL		SUPERBOWL = 'SUPERBOWL'		"(SUPERBOWL,'SUPERBOWL'),"
Detroit	Lions			Lions				"(Lions,'Lions'),"											
Green	Bay	Packers		Packers				"(Packers,'Packers'),"											
Minnesota	Vikings			Vikings				"(Vikings,'Vikings'),"											
Atlanta	Falcons			Falcons				"(Falcons,'Falcons'),"											
Carolina	Panthers			Panthers				"(Panthers,'Panthers'),"											
New	Orleans	Saints		Saints				"(Saints,'Saints'),"											
Tampa	Bay	Buccaneers		Buccaneers				"(Buccaneers,'Buccaneers'),"											
Arizona	Cardinals			Cardinals				"(Cardinals,'Cardinals'),"											
Los	Angeles	Rams		Rams				"(Rams,'Rams'),"											
San	Francisco	49ers		49ers				"(49ers,'49ers'),"											
Seattle	Seahawks			Seahawks				"(Seahawks,'Seahawks'),"											
