name,away_team,home_team,away_score,home_score,week,ko_datetime,venue
Chiefs @ Patriots,Chiefs,Patriots,0,0,WK1,2017-09-07 20:30,Gillette Stadium
Cardinals @ Lions,Cardinals,Lions,0,0,WK1,2017-09-10 13:00,Ford Field
Falcons @ Bears,Falcons,Bears,0,0,WK1,2017-09-10 13:00,Soldier Field
Ravens @ Bengals,Ravens,Bengals,0,0,WK1,2017-09-10 13:00,Paul Brown Stadium
Jaguars @ Texans,Jaguars,Texans,0,0,WK1,2017-09-10 13:00,NRG Stadium
Jets @ Bills,Jets,Bills,0,0,WK1,2017-09-10 13:00,New Era Field
Raiders @ Titans,Raiders,Titans,0,0,WK1,2017-09-10 13:00,Nissan Stadium
Eagles @ Redskins,Eagles,Redskins,0,0,WK1,2017-09-10 13:00,FedEx Field
Steelers @ Browns,Steelers,Browns,0,0,WK1,2017-09-10 13:00,FirstEnergy Stadium
Buccaneers @ Dolphins,Buccaneers,Dolphins,0,0,WK1,2017-09-10 13:00,Hard Rock Stadium
Colts @ Rams,Colts,Rams,0,0,WK1,2017-09-10 16:05,Oakland Alameda Coliseum
Panthers @ 49ers,Panthers,49ers,0,0,WK1,2017-09-10 16:25,Levi's Stadium
Seahawks @ Packers,Seahawks,Packers,0,0,WK1,2017-09-10 16:25,Lambeau Field
Giants @ Cowboys,Giants,Cowboys,0,0,WK1,2017-09-10 20:30,AT&T Stadium
Saints @ Vikings,Saints,Vikings,0,0,WK1,2017-09-11 19:10,US Bank Stadium
Chargers @ Broncos,Chargers,Broncos,0,0,WK1,2017-09-11 22:20,Sports Authority Stadium
Texans @ Bengals,Texans,Bengals,0,0,WK2,2017-09-14 20:25,Paul Brown Stadium
Cardinals @ Colts,Cardinals,Colts,0,0,WK2,2017-09-17 13:00,Lucas Oil Stadium
Bills @ Panthers,Bills,Panthers,0,0,WK2,2017-09-17 13:00,Bank of America Stadium
Bears @ Buccaneers,Bears,Buccaneers,0,0,WK2,2017-09-17 13:00,Raymond James Stadium
Browns @ Ravens,Browns,Ravens,0,0,WK2,2017-09-17 13:00,M&T Bank Stadium
Vikings @ Steelers,Vikings,Steelers,0,0,WK2,2017-09-17 13:00,Heinx Field
Patriots @ Saints,Patriots,Saints,0,0,WK2,2017-09-17 13:00,Mercedes-Benz Superdome
Eagles @ Chiefs,Eagles,Chiefs,0,0,WK2,2017-09-17 13:00,Arrowhead Stadium
