,game_id,team,home_away,pts_scored_last_5_games,pts_scored_season,pts_conceded_last_5_games,pts_conceded_season,totalyYds_gained_last_5,totalyYds_gained_season,passing_yds_gained_last_5,passing_yds_gained_season,rushing_yds_gained_last_5,rushing_yds_gained_season,totalyYds_allowed_last_5,totalyYds_allowed_season,passing_yds_allowed_last_5,passing_yds_allowed_season,rushing_yds_allowed_last_5,rushing_yds_allowed_season,penalty_yds_awarded_last_5,penalty_yds_awarded_season,penalty_yds_conceded_last_5,penalty_yds_conceded_season,first_downs_gained_last_5,first_downs_gained_season,first_downs_conceded_last_5,first_downs_conceded_season,turnovers_won_last_5,turnovers_won_season,turnovers_conceded_last_5,turnovers_conceded_season,opp_team,opp_pts_scored_last_5_games,opp_pts_scored_season,opp_pts_conceded_last_5_games,opp_pts_conceded_season,opp_totalyYds_gained_last_5,opp_totalyYds_gained_season,opp_passing_yds_gained_last_5,opp_passing_yds_gained_season,opp_rushing_yds_gained_last_5,opp_rushing_yds_gained_season,opp_totalyYds_allowed_last_5,opp_totalyYds_allowed_season,opp_passing_yds_allowed_last_5,opp_passing_yds_allowed_season,opp_rushing_yds_allowed_last_5,opp_rushing_yds_allowed_season,opp_penalty_yds_awarded_last_5,opp_penalty_yds_awarded_season,opp_penalty_yds_conceded_last_5,opp_penalty_yds_conceded_season,opp_first_downs_gained_last_5,opp_first_downs_gained_season,opp_first_downs_conceded_last_5,opp_first_downs_conceded_season,opp_turnovers_won_last_5,opp_turnovers_won_season,opp_turnovers_conceded_last_5,opp_turnovers_conceded_season,home_score,away_score,win,margin,total_pts,year,week
0,54467,PIT,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,TRUE,3,23,2009,1
1,54468,ATL,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,TRUE,12,26,2009,1
2,54469,BAL,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,TRUE,14,62,2009,1
3,54470,CAR,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,FALSE,28,48,2009,1
4,54471,CIN,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,FALSE,5,19,2009,1
5,54472,CLE,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,34,FALSE,14,54,2009,1
6,54473,HOU,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,24,FALSE,17,31,2009,1
7,54474,IND,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,TRUE,2,26,2009,1
8,54475,NO,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,27,TRUE,18,72,2009,1
9,54476,TB,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,FALSE,13,55,2009,1
10,54477,ARI,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,20,FALSE,4,36,2009,1
11,54478,NYG,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,TRUE,6,40,2009,1
12,54479,SEA,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,TRUE,28,28,2009,1
13,54480,GB,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,15,TRUE,6,36,2009,1
14,54481,NE,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,TRUE,1,49,2009,1
15,54482,OAK,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,FALSE,4,44,2009,1
16,54483,ATL,home,19,19,7,7,281,281,213,213,68,68,259,259,163,163,96,96,35,35,27,27,19,19,16,16,4,4,0,0,CAR,10,10,38,38,169,169,83,83,86,86,267,267,82,82,185,185,30,30,76,76,14,14,17,17,2,2,7,7,28,20,TRUE,8,48,2009,2
17,54484,DET,home,27,27,45,45,231,231,198,198,33,33,515,515,358,358,157,157,80,80,36,36,14,14,28,28,3,3,3,3,MIN,34,34,20,20,310,310,85,85,225,225,268,268,179,179,89,89,38,38,66,66,19,19,17,17,2,2,0,0,13,27,FALSE,14,40,2009,2
18,54485,GB,home,21,21,15,15,226,226,150,150,76,76,352,352,266,266,86,86,45,45,25,25,12,12,18,18,4,4,0,0,CIN,7,7,12,12,307,307,221,221,86,86,302,302,227,227,75,75,27,27,39,39,16,16,10,10,0,0,2,2,24,31,FALSE,7,55,2009,2
19,54486,JAC,home,12,12,14,14,228,228,114,114,114,114,365,365,294,294,71,71,24,24,17,17,12,12,21,21,2,2,0,0,ARI,16,16,20,20,299,299,259,259,40,40,203,203,182,182,21,21,82,82,31,31,17,17,13,13,1,1,2,2,17,31,FALSE,14,48,2009,2
20,54487,KC,home,24,24,38,38,188,188,159,159,29,29,501,501,303,303,198,198,15,15,65,65,11,11,32,32,1,1,0,0,OAK,20,20,24,24,366,366,218,218,148,148,317,317,240,240,77,77,40,40,60,60,19,19,19,19,2,2,3,3,10,13,FALSE,3,23,2009,2
21,54488,NYJ,home,24,24,7,7,462,462,272,272,190,190,183,183,145,145,38,38,80,80,37,37,22,22,11,11,2,2,1,1,NE,25,25,24,24,441,441,368,368,73,73,276,276,186,186,90,90,55,55,71,71,28,28,17,17,1,1,1,1,16,9,TRUE,7,25,2009,2
22,54489,PHI,home,38,38,10,10,267,267,82,82,185,185,169,169,83,83,86,86,76,76,30,30,17,17,14,14,7,7,2,2,NO,45,45,27,27,515,515,358,358,157,157,231,231,198,198,33,33,36,36,80,80,28,28,14,14,3,3,3,3,22,48,FALSE,26,70,2009,2
23,54490,TEN,home,10,10,13,13,320,320,234,234,86,86,357,357,321,321,36,36,28,28,60,60,18,18,19,19,3,3,2,2,HOU,7,7,24,24,183,183,145,145,38,38,462,462,272,272,190,190,37,37,80,80,11,11,22,22,1,1,2,2,31,34,FALSE,3,65,2009,2
24,54491,WAS,home,17,17,23,23,272,272,187,187,85,85,351,351,248,248,103,103,32,32,30,30,15,15,18,18,2,2,2,2,STL,0,0,28,28,247,247,170,170,77,77,446,446,279,279,167,167,85,85,25,25,13,13,25,25,3,3,1,1,9,7,TRUE,2,16,2009,2
25,54492,BUF,home,24,24,25,25,276,276,186,186,90,90,441,441,368,368,73,73,71,71,55,55,17,17,28,28,1,1,1,1,TB,21,21,34,34,450,450,276,276,174,174,462,462,344,344,118,118,15,15,41,41,26,26,18,18,0,0,0,0,33,20,TRUE,13,53,2009,2
26,54493,SF,home,20,20,16,16,203,203,182,182,21,21,299,299,259,259,40,40,31,31,82,82,13,13,17,17,2,2,1,1,SEA,28,28,0,0,446,446,279,279,167,167,247,247,170,170,77,77,25,25,85,85,25,25,13,13,1,1,3,3,23,10,TRUE,13,33,2009,2
27,54494,CHI,home,15,15,21,21,352,352,266,266,86,86,226,226,150,150,76,76,25,25,45,45,18,18,12,12,0,0,4,4,PIT,13,13,10,10,357,357,321,321,36,36,320,320,234,234,86,86,60,60,28,28,19,19,18,18,2,2,3,3,17,14,TRUE,3,31,2009,2
28,54495,DEN,home,12,12,7,7,302,302,227,227,75,75,307,307,221,221,86,86,39,39,27,27,10,10,16,16,2,2,0,0,CLE,20,20,34,34,268,268,179,179,89,89,310,310,85,85,225,225,66,66,38,38,17,17,19,19,0,0,2,2,27,6,TRUE,21,33,2009,2
29,54496,SD,home,24,24,20,20,317,317,240,240,77,77,366,366,218,218,148,148,60,60,40,40,19,19,19,19,3,3,2,2,BAL,38,38,24,24,501,501,303,303,198,198,188,188,159,159,29,29,65,65,15,15,32,32,11,11,0,0,1,1,26,31,FALSE,5,57,2009,2
30,54497,DAL,home,34,34,21,21,462,462,344,344,118,118,450,450,276,276,174,174,41,41,15,15,18,18,26,26,0,0,0,0,NYG,23,23,17,17,351,351,248,248,103,103,272,272,187,187,85,85,30,30,32,32,18,18,15,15,2,2,2,2,31,33,FALSE,2,64,2009,2
31,54498,MIA,home,7,7,19,19,259,259,163,163,96,96,281,281,213,213,68,68,27,27,35,35,16,16,19,19,0,0,4,4,IND,14,14,12,12,365,365,294,294,71,71,228,228,114,114,114,114,17,17,24,24,21,21,12,12,0,0,2,2,23,27,FALSE,4,50,2009,2
32,54504,BAL,home,34.5,34.5,25,25,406,406,242,242,164,164,331,331,290,290,41,41,48.5,48.5,50,50,27,27,15.5,15.5,1,1,1,1,CLE,13,13,30.5,30.5,234,234,162.5,162.5,71.5,71.5,379.5,379.5,174,174,205.5,205.5,54.5,54.5,44,44,14,14,22,22,0.5,0.5,2.5,2.5,34,3,TRUE,31,37,2009,3
33,54505,CIN,home,19,19,18,18,313,313,194.5,194.5,118.5,118.5,306.5,306.5,224.5,224.5,82,82,63.5,63.5,57.5,57.5,17.5,17.5,16,16,0.5,0.5,2,2,PIT,13.5,13.5,13.5,13.5,332.5,332.5,262,262,70.5,70.5,297.5,297.5,233,233,64.5,64.5,56,56,54,54,20,20,17.5,17.5,1,1,2.5,2.5,23,20,TRUE,3,43,2009,3
34,54506,DET,home,20,20,36,36,248,248,167,167,81,81,390,390,255.5,255.5,134.5,134.5,62.5,62.5,39.5,39.5,15.5,15.5,23,23,2,2,3,3,WAS,13,13,15,15,317,317,212,212,105,105,298,298,183.5,183.5,114.5,114.5,33.5,33.5,37.5,37.5,18,18,16,16,1.5,1.5,1.5,1.5,19,14,TRUE,5,33,2009,3
35,54507,HOU,home,20.5,20.5,27.5,27.5,301.5,301.5,251,251,50.5,50.5,455.5,455.5,240.5,240.5,215,215,38.5,38.5,72,72,15,15,20.5,20.5,1.5,1.5,1,1,JAC,14.5,14.5,22.5,22.5,300,300,197,197,103,103,374,374,279.5,279.5,94.5,94.5,37,37,37.5,37.5,15,15,21.5,21.5,2,2,1.5,1.5,24,31,FALSE,7,55,2009,3
36,54508,MIN,home,30.5,30.5,16.5,16.5,287.5,287.5,119,119,168.5,168.5,266.5,266.5,157.5,157.5,109,109,40.5,40.5,55.5,55.5,18.5,18.5,17,17,2.5,2.5,0.5,0.5,SF,21.5,21.5,13,13,291,291,152.5,152.5,138.5,138.5,291,291,238,238,53,53,42.5,42.5,63.5,63.5,14.5,14.5,18,18,1.5,1.5,0.5,0.5,27,24,TRUE,3,51,2009,3
37,54509,NE,home,17,17,20,20,370,370,292,292,78,78,265,265,161.5,161.5,103.5,103.5,72,72,63,63,23,23,15.5,15.5,1,1,1,1,ATL,23.5,23.5,13.5,13.5,326,326,216.5,216.5,109.5,109.5,349.5,349.5,229.5,229.5,120,120,37.5,37.5,31,31,21,21,20,20,3,3,1,1,26,10,TRUE,16,36,2009,3
38,54510,PHI,home,30,30,29,29,365,365,230,230,135,135,295,295,185.5,185.5,109.5,109.5,60.5,60.5,21.5,21.5,20,20,18.5,18.5,4,4,3,3,KC,17,17,25.5,25.5,298.5,298.5,197.5,197.5,101,101,333.5,333.5,201,201,132.5,132.5,42.5,42.5,55,55,18,18,21.5,21.5,0.5,0.5,1,1,34,14,TRUE,20,48,2009,3
39,54511,STL,home,3.5,3.5,18.5,18.5,246,246,144.5,144.5,101.5,101.5,404,404,258,258,146,146,65,65,30,30,13.5,13.5,23,23,2,2,1,1,GB,22.5,22.5,23,23,268.5,268.5,186,186,82.5,82.5,335.5,335.5,217,217,118.5,118.5,60.5,60.5,62.5,62.5,17,17,18.5,18.5,3,3,0.5,0.5,17,36,FALSE,19,53,2009,3
40,54512,TB,home,20.5,20.5,33.5,33.5,401.5,401.5,286,286,115.5,115.5,450,450,282,282,168,168,63.5,63.5,48,48,22.5,22.5,21.5,21.5,1,1,1,1,NYG,28,28,24,24,389,389,289,289,100,100,325,325,157,157,168,168,35,35,41,41,18.5,18.5,19,19,3,3,1,1,0,24,FALSE,24,24,2009,3
41,54513,BUF,home,28.5,28.5,22.5,22.5,357,357,203,203,154,154,397,397,332,332,65,65,63,63,83.5,83.5,21,21,23.5,23.5,1.5,1.5,1.5,1.5,NO,46.5,46.5,24.5,24.5,468,468,323,323,145,145,347,347,288,288,59,59,24.5,24.5,62.5,62.5,25.5,25.5,18.5,18.5,3.5,3.5,2,2,7,27,FALSE,20,34,2009,3
42,54514,SEA,home,19,19,11.5,11.5,364.5,364.5,248,248,116.5,116.5,313,313,146.5,146.5,166.5,166.5,35,35,69.5,69.5,22,22,14.5,14.5,0.5,0.5,2,2,CHI,16,16,17.5,17.5,313.5,313.5,249,249,64.5,64.5,267,267,176.5,176.5,90.5,90.5,52.5,52.5,48.5,48.5,17.5,17.5,16.5,16.5,1,1,2,2,19,25,FALSE,6,44,2009,3
43,54499,NYJ,home,20,20,8,8,358,358,204.5,204.5,153.5,153.5,241,241,180.5,180.5,60.5,60.5,67.5,67.5,63,63,18,18,14.5,14.5,1.5,1.5,1,1,TEN,20.5,20.5,23.5,23.5,384.5,384.5,221.5,221.5,163,163,388.5,388.5,339,339,49.5,49.5,46,46,50,50,18.5,18.5,19,19,1.5,1.5,2,2,24,17,TRUE,7,41,2009,3
44,54500,OAK,home,16.5,16.5,17,17,266,266,158.5,158.5,107.5,107.5,363,363,238,238,125,125,42.5,42.5,65,65,15,15,22,22,2,2,1.5,1.5,DEN,19.5,19.5,6.5,6.5,375.5,375.5,245,245,130.5,130.5,253.5,253.5,183.5,183.5,70,70,44.5,44.5,35,35,17.5,17.5,13.5,13.5,2.5,2.5,0.5,0.5,3,23,FALSE,20,26,2009,3
45,54501,SD,home,25,25,25.5,25.5,395.5,395.5,330.5,330.5,65,65,338.5,338.5,199.5,199.5,139,139,72.5,72.5,36,36,19.5,19.5,20.5,20.5,2,2,2,2,MIA,15,15,23,23,331,331,163.5,163.5,167.5,167.5,318.5,318.5,254,254,64.5,64.5,23.5,23.5,27.5,27.5,21.5,21.5,16.5,16.5,0,0,2.5,2.5,23,13,TRUE,10,36,2009,3
