,game_id,team,home_away,pts_scored_last_5_games,pts_scored_season,pts_conceded_last_5_games,pts_conceded_season,totalyYds_gained_last_5,totalyYds_gained_season,passing_yds_gained_last_5,passing_yds_gained_season,rushing_yds_gained_last_5,rushing_yds_gained_season,totalyYds_allowed_last_5,totalyYds_allowed_season,passing_yds_allowed_last_5,passing_yds_allowed_season,rushing_yds_allowed_last_5,rushing_yds_allowed_season,penalty_yds_awarded_last_5,penalty_yds_awarded_season,penalty_yds_conceded_last_5,penalty_yds_conceded_season,first_downs_gained_last_5,first_downs_gained_season,first_downs_conceded_last_5,first_downs_conceded_season,turnovers_won_last_5,turnovers_won_season,turnovers_conceded_last_5,turnovers_conceded_season,opp_team,opp_pts_scored_last_5_games,opp_pts_scored_season,opp_pts_conceded_last_5_games,opp_pts_conceded_season,opp_totalyYds_gained_last_5,opp_totalyYds_gained_season,opp_passing_yds_gained_last_5,opp_passing_yds_gained_season,opp_rushing_yds_gained_last_5,opp_rushing_yds_gained_season,opp_totalyYds_allowed_last_5,opp_totalyYds_allowed_season,opp_passing_yds_allowed_last_5,opp_passing_yds_allowed_season,opp_rushing_yds_allowed_last_5,opp_rushing_yds_allowed_season,opp_penalty_yds_awarded_last_5,opp_penalty_yds_awarded_season,opp_penalty_yds_conceded_last_5,opp_penalty_yds_conceded_season,opp_first_downs_gained_last_5,opp_first_downs_gained_season,opp_first_downs_conceded_last_5,opp_first_downs_conceded_season,opp_turnovers_won_last_5,opp_turnovers_won_season,opp_turnovers_conceded_last_5,opp_turnovers_conceded_season
0,56901,DEN,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,56902,ATL,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,56903,BAL,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,56904,HOU,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,56905,JAC,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,56906,KC,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,56907,NO,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,56908,NYJ,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,56909,PHI,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,56910,TEN,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56911,SEA,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,56912,DAL,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,56913,IND,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,56914,ARI,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,56915,WAS,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,56916,SF,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,56917,BUF,home,7.0,7.0,13.0,13.0,160.0,160.0,95.0,95.0,65.0,65.0,308.0,308.0,225.0,225.0,83.0,83.0,89.0,89.0,35.0,35.0,11.0,11.0,18.0,18.0,1.0,1.0,0.0,0.0,NYJ,22.0,22.0,23.0,23.0,340.0,340.0,188.0,188.0,152.0,152.0,381.0,381.0,324.0,324.0,57.0,57.0,95.0,95.0,44.0,44.0,22.0,22.0,18.0,18.0,1.0,1.0,1.0,1.0
17,56918,CAR,home,20.0,20.0,21.0,21.0,333.0,333.0,176.0,176.0,157.0,157.0,307.0,307.0,159.0,159.0,148.0,148.0,85.0,85.0,22.0,22.0,21.0,21.0,21.0,21.0,3.0,3.0,1.0,1.0,SF,28.0,28.0,0.0,0.0,320.0,320.0,170.0,170.0,150.0,150.0,185.0,185.0,120.0,120.0,65.0,65.0,10.0,10.0,102.0,102.0,28.0,28.0,10.0,10.0,2.0,2.0,1.0,1.0
18,56919,CLE,home,10.0,10.0,29.0,29.0,288.0,288.0,168.0,168.0,120.0,120.0,403.0,403.0,270.0,270.0,133.0,133.0,15.0,15.0,46.0,46.0,14.0,14.0,23.0,23.0,0.0,0.0,1.0,1.0,BAL,13.0,13.0,7.0,7.0,308.0,308.0,225.0,225.0,83.0,83.0,160.0,160.0,95.0,95.0,65.0,65.0,35.0,35.0,89.0,89.0,18.0,18.0,11.0,11.0,0.0,0.0,1.0,1.0
19,56920,DET,home,39.0,39.0,35.0,35.0,448.0,448.0,332.0,332.0,116.0,116.0,450.0,450.0,368.0,368.0,82.0,82.0,70.0,70.0,45.0,45.0,28.0,28.0,25.0,25.0,0.0,0.0,0.0,0.0,TEN,16.0,16.0,25.0,25.0,316.0,316.0,252.0,252.0,64.0,64.0,301.0,301.0,236.0,236.0,65.0,65.0,10.0,10.0,39.0,39.0,19.0,19.0,15.0,15.0,0.0,0.0,3.0,3.0
20,56921,HOU,home,23.0,23.0,14.0,14.0,346.0,346.0,215.0,215.0,131.0,131.0,258.0,258.0,185.0,185.0,73.0,73.0,69.0,69.0,30.0,30.0,17.0,17.0,14.0,14.0,1.0,1.0,1.0,1.0,KC,33.0,33.0,27.0,27.0,413.0,413.0,330.0,330.0,83.0,83.0,388.0,388.0,233.0,233.0,155.0,155.0,46.0,46.0,30.0,30.0,26.0,26.0,25.0,25.0,0.0,0.0,1.0,1.0
21,56922,NE,home,23.0,23.0,21.0,21.0,363.0,363.0,257.0,257.0,106.0,106.0,344.0,344.0,252.0,252.0,92.0,92.0,69.0,69.0,58.0,58.0,19.0,19.0,21.0,21.0,0.0,0.0,2.0,2.0,MIA,10.0,10.0,12.0,12.0,222.0,222.0,158.0,158.0,64.0,64.0,352.0,352.0,240.0,240.0,112.0,112.0,40.0,40.0,69.0,69.0,11.0,11.0,21.0,21.0,2.0,2.0,0.0,0.0
22,56923,NYG,home,20.0,20.0,19.0,19.0,316.0,316.0,203.0,203.0,113.0,113.0,328.0,328.0,227.0,227.0,101.0,101.0,40.0,40.0,50.0,50.0,18.0,18.0,24.0,24.0,0.0,0.0,1.0,1.0,NO,34.0,34.0,35.0,35.0,508.0,508.0,420.0,420.0,88.0,88.0,486.0,486.0,319.0,319.0,167.0,167.0,53.0,53.0,141.0,141.0,27.0,27.0,25.0,25.0,0.0,0.0,1.0,1.0
23,56924,PIT,home,38.0,38.0,16.0,16.0,435.0,435.0,288.0,288.0,147.0,147.0,384.0,384.0,329.0,329.0,55.0,55.0,81.0,81.0,55.0,55.0,23.0,23.0,18.0,18.0,2.0,2.0,1.0,1.0,CIN,23.0,23.0,22.0,22.0,381.0,381.0,324.0,324.0,57.0,57.0,340.0,340.0,188.0,188.0,152.0,152.0,44.0,44.0,95.0,95.0,18.0,18.0,22.0,22.0,1.0,1.0,1.0,1.0
24,56925,WAS,home,16.0,16.0,38.0,38.0,384.0,384.0,329.0,329.0,55.0,55.0,435.0,435.0,288.0,288.0,147.0,147.0,55.0,55.0,81.0,81.0,18.0,18.0,23.0,23.0,1.0,1.0,2.0,2.0,DAL,19.0,19.0,20.0,20.0,328.0,328.0,227.0,227.0,101.0,101.0,316.0,316.0,203.0,203.0,113.0,113.0,50.0,50.0,40.0,40.0,24.0,24.0,18.0,18.0,1.0,1.0,0.0,0.0
25,56926,ARI,home,21.0,21.0,23.0,23.0,344.0,344.0,252.0,252.0,92.0,92.0,363.0,363.0,257.0,257.0,106.0,106.0,58.0,58.0,69.0,69.0,21.0,21.0,19.0,19.0,2.0,2.0,0.0,0.0,TB,31.0,31.0,24.0,24.0,371.0,371.0,281.0,281.0,90.0,90.0,374.0,374.0,322.0,322.0,52.0,52.0,48.0,48.0,74.0,74.0,20.0,20.0,19.0,19.0,0.0,0.0,1.0,1.0
26,56927,LA,home,0.0,0.0,28.0,28.0,185.0,185.0,120.0,120.0,65.0,65.0,320.0,320.0,170.0,170.0,150.0,150.0,102.0,102.0,10.0,10.0,10.0,10.0,28.0,28.0,1.0,1.0,2.0,2.0,SEA,12.0,12.0,10.0,10.0,352.0,352.0,240.0,240.0,112.0,112.0,222.0,222.0,158.0,158.0,64.0,64.0,69.0,69.0,40.0,40.0,21.0,21.0,11.0,11.0,0.0,0.0,2.0,2.0
27,56928,DEN,home,21.0,21.0,20.0,20.0,307.0,307.0,159.0,159.0,148.0,148.0,333.0,333.0,176.0,176.0,157.0,157.0,22.0,22.0,85.0,85.0,21.0,21.0,21.0,21.0,1.0,1.0,3.0,3.0,IND,35.0,35.0,39.0,39.0,450.0,450.0,368.0,368.0,82.0,82.0,448.0,448.0,332.0,332.0,116.0,116.0,45.0,45.0,70.0,70.0,25.0,25.0,28.0,28.0,0.0,0.0,0.0,0.0
28,56929,OAK,home,35.0,35.0,34.0,34.0,486.0,486.0,319.0,319.0,167.0,167.0,508.0,508.0,420.0,420.0,88.0,88.0,141.0,141.0,53.0,53.0,25.0,25.0,27.0,27.0,1.0,1.0,0.0,0.0,ATL,24.0,24.0,31.0,31.0,374.0,374.0,322.0,322.0,52.0,52.0,371.0,371.0,281.0,281.0,90.0,90.0,74.0,74.0,48.0,48.0,19.0,19.0,20.0,20.0,1.0,1.0,0.0,0.0
