,game_id,team,home_score,away_score,win,margin,total_pts,year,week
0,54467,PIT,13,10,True,3,23,2009,1
1,54468,ATL,19,7,True,12,26,2009,1
2,54469,BAL,38,24,True,14,62,2009,1
3,54470,CAR,10,38,False,28,48,2009,1
4,54471,CIN,7,12,False,5,19,2009,1
5,54472,CLE,20,34,False,14,54,2009,1
6,54473,HOU,7,24,False,17,31,2009,1
7,54474,IND,14,12,True,2,26,2009,1
8,54475,NO,45,27,True,18,72,2009,1
9,54476,TB,21,34,False,13,55,2009,1
10,54477,ARI,16,20,False,4,36,2009,1
11,54478,NYG,23,17,True,6,40,2009,1
12,54479,SEA,28,0,True,28,28,2009,1
13,54480,GB,21,15,True,6,36,2009,1
14,54481,NE,25,24,True,1,49,2009,1
15,54482,OAK,20,24,False,4,44,2009,1
16,54483,ATL,28,20,True,8,48,2009,2
17,54484,DET,13,27,False,14,40,2009,2
18,54485,GB,24,31,False,7,55,2009,2
19,54486,JAC,17,31,False,14,48,2009,2
20,54487,KC,10,13,False,3,23,2009,2
21,54488,NYJ,16,9,True,7,25,2009,2
22,54489,PHI,22,48,False,26,70,2009,2
23,54490,TEN,31,34,False,3,65,2009,2
24,54491,WAS,9,7,True,2,16,2009,2
25,54492,BUF,33,20,True,13,53,2009,2
26,54493,SF,23,10,True,13,33,2009,2
27,54494,CHI,17,14,True,3,31,2009,2
28,54495,DEN,27,6,True,21,33,2009,2
29,54496,SD,26,31,False,5,57,2009,2
30,54497,DAL,31,33,False,2,64,2009,2
31,54498,MIA,23,27,False,4,50,2009,2
32,54504,BAL,34,3,True,31,37,2009,3
33,54505,CIN,23,20,True,3,43,2009,3
34,54506,DET,19,14,True,5,33,2009,3
35,54507,HOU,24,31,False,7,55,2009,3
36,54508,MIN,27,24,True,3,51,2009,3
37,54509,NE,26,10,True,16,36,2009,3
38,54510,PHI,34,14,True,20,48,2009,3
39,54511,STL,17,36,False,19,53,2009,3
40,54512,TB,0,24,False,24,24,2009,3
41,54513,BUF,7,27,False,20,34,2009,3
42,54514,SEA,19,25,False,6,44,2009,3
43,54499,NYJ,24,17,True,7,41,2009,3
44,54500,OAK,3,23,False,20,26,2009,3
45,54501,SD,23,13,True,10,36,2009,3
46,54502,ARI,10,31,False,21,41,2009,3
47,54503,DAL,21,7,True,14,28,2009,3
48,54515,CHI,48,24,True,24,72,2009,4
49,54516,CLE,20,23,False,3,43,2009,4
50,54517,HOU,29,6,True,23,35,2009,4
51,54518,IND,34,17,True,17,51,2009,4
52,54519,JAC,37,17,True,20,54,2009,4
